       Atomic Center    1 is at   0.000000  0.000000  0.119743
       Atomic Center    2 is at   0.000000  0.761821 -0.478973
       Atomic Center    3 is at   0.000000 -0.761821 -0.478973
      ESP Fit Center    4 is at  -2.550000 -1.800000 -0.929615
      ESP Fit Center    5 is at  -2.550000 -1.800000 -0.629615
      ESP Fit Center    6 is at  -2.550000 -1.800000 -0.329615
      ESP Fit Center    7 is at  -2.550000 -1.800000 -0.029615
      ESP Fit Center    8 is at  -2.550000 -1.500000 -1.229615
      ESP Fit Center    9 is at  -2.550000 -1.500000 -0.929615
      ESP Fit Center   10 is at  -2.550000 -1.500000 -0.629615
      ESP Fit Center   11 is at  -2.550000 -1.500000 -0.329615
      ESP Fit Center   12 is at  -2.550000 -1.500000 -0.029615
      ESP Fit Center   13 is at  -2.550000 -1.500000  0.270385
      ESP Fit Center   14 is at  -2.550000 -1.200000 -1.529615
      ESP Fit Center   15 is at  -2.550000 -1.200000 -1.229615
      ESP Fit Center   16 is at  -2.550000 -1.200000 -0.929615
      ESP Fit Center   17 is at  -2.550000 -1.200000 -0.629615
      ESP Fit Center   18 is at  -2.550000 -1.200000 -0.329615
      ESP Fit Center   19 is at  -2.550000 -1.200000 -0.029615
      ESP Fit Center   20 is at  -2.550000 -1.200000  0.270385
      ESP Fit Center   21 is at  -2.550000 -1.200000  0.570385
      ESP Fit Center   22 is at  -2.550000 -0.900000 -1.529615
      ESP Fit Center   23 is at  -2.550000 -0.900000 -1.229615
      ESP Fit Center   24 is at  -2.550000 -0.900000 -0.929615
      ESP Fit Center   25 is at  -2.550000 -0.900000 -0.629615
      ESP Fit Center   26 is at  -2.550000 -0.900000 -0.329615
      ESP Fit Center   27 is at  -2.550000 -0.900000 -0.029615
      ESP Fit Center   28 is at  -2.550000 -0.900000  0.270385
      ESP Fit Center   29 is at  -2.550000 -0.900000  0.570385
      ESP Fit Center   30 is at  -2.550000 -0.600000 -1.529615
      ESP Fit Center   31 is at  -2.550000 -0.600000 -1.229615
      ESP Fit Center   32 is at  -2.550000 -0.600000 -0.929615
      ESP Fit Center   33 is at  -2.550000 -0.600000 -0.629615
      ESP Fit Center   34 is at  -2.550000 -0.600000 -0.329615
      ESP Fit Center   35 is at  -2.550000 -0.600000 -0.029615
      ESP Fit Center   36 is at  -2.550000 -0.600000  0.270385
      ESP Fit Center   37 is at  -2.550000 -0.600000  0.570385
      ESP Fit Center   38 is at  -2.550000 -0.600000  0.870385
      ESP Fit Center   39 is at  -2.550000 -0.300000 -1.529615
      ESP Fit Center   40 is at  -2.550000 -0.300000 -1.229615
      ESP Fit Center   41 is at  -2.550000 -0.300000 -0.929615
      ESP Fit Center   42 is at  -2.550000 -0.300000 -0.629615
      ESP Fit Center   43 is at  -2.550000 -0.300000 -0.329615
      ESP Fit Center   44 is at  -2.550000 -0.300000 -0.029615
      ESP Fit Center   45 is at  -2.550000 -0.300000  0.270385
      ESP Fit Center   46 is at  -2.550000 -0.300000  0.570385
      ESP Fit Center   47 is at  -2.550000 -0.300000  0.870385
      ESP Fit Center   48 is at  -2.550000 -0.300000  1.170385
      ESP Fit Center   49 is at  -2.550000  0.000000 -1.229615
      ESP Fit Center   50 is at  -2.550000  0.000000 -0.929615
      ESP Fit Center   51 is at  -2.550000  0.000000 -0.629615
      ESP Fit Center   52 is at  -2.550000  0.000000 -0.329615
      ESP Fit Center   53 is at  -2.550000  0.000000 -0.029615
      ESP Fit Center   54 is at  -2.550000  0.000000  0.270385
      ESP Fit Center   55 is at  -2.550000  0.000000  0.570385
      ESP Fit Center   56 is at  -2.550000  0.000000  0.870385
      ESP Fit Center   57 is at  -2.550000  0.000000  1.170385
      ESP Fit Center   58 is at  -2.550000  0.300000 -1.529615
      ESP Fit Center   59 is at  -2.550000  0.300000 -1.229615
      ESP Fit Center   60 is at  -2.550000  0.300000 -0.929615
      ESP Fit Center   61 is at  -2.550000  0.300000 -0.629615
      ESP Fit Center   62 is at  -2.550000  0.300000 -0.329615
      ESP Fit Center   63 is at  -2.550000  0.300000 -0.029615
      ESP Fit Center   64 is at  -2.550000  0.300000  0.270385
      ESP Fit Center   65 is at  -2.550000  0.300000  0.570385
      ESP Fit Center   66 is at  -2.550000  0.300000  0.870385
      ESP Fit Center   67 is at  -2.550000  0.300000  1.170385
      ESP Fit Center   68 is at  -2.550000  0.600000 -1.529615
      ESP Fit Center   69 is at  -2.550000  0.600000 -1.229615
      ESP Fit Center   70 is at  -2.550000  0.600000 -0.929615
      ESP Fit Center   71 is at  -2.550000  0.600000 -0.629615
      ESP Fit Center   72 is at  -2.550000  0.600000 -0.329615
      ESP Fit Center   73 is at  -2.550000  0.600000 -0.029615
      ESP Fit Center   74 is at  -2.550000  0.600000  0.270385
      ESP Fit Center   75 is at  -2.550000  0.600000  0.570385
      ESP Fit Center   76 is at  -2.550000  0.600000  0.870385
      ESP Fit Center   77 is at  -2.550000  0.900000 -1.529615
      ESP Fit Center   78 is at  -2.550000  0.900000 -1.229615
      ESP Fit Center   79 is at  -2.550000  0.900000 -0.929615
      ESP Fit Center   80 is at  -2.550000  0.900000 -0.629615
      ESP Fit Center   81 is at  -2.550000  0.900000 -0.329615
      ESP Fit Center   82 is at  -2.550000  0.900000 -0.029615
      ESP Fit Center   83 is at  -2.550000  0.900000  0.270385
      ESP Fit Center   84 is at  -2.550000  0.900000  0.570385
      ESP Fit Center   85 is at  -2.550000  1.200000 -1.529615
      ESP Fit Center   86 is at  -2.550000  1.200000 -1.229615
      ESP Fit Center   87 is at  -2.550000  1.200000 -0.929615
      ESP Fit Center   88 is at  -2.550000  1.200000 -0.629615
      ESP Fit Center   89 is at  -2.550000  1.200000 -0.329615
      ESP Fit Center   90 is at  -2.550000  1.200000 -0.029615
      ESP Fit Center   91 is at  -2.550000  1.200000  0.270385
      ESP Fit Center   92 is at  -2.550000  1.200000  0.570385
      ESP Fit Center   93 is at  -2.550000  1.500000 -1.229615
      ESP Fit Center   94 is at  -2.550000  1.500000 -0.929615
      ESP Fit Center   95 is at  -2.550000  1.500000 -0.629615
      ESP Fit Center   96 is at  -2.550000  1.500000 -0.329615
      ESP Fit Center   97 is at  -2.550000  1.500000 -0.029615
      ESP Fit Center   98 is at  -2.550000  1.500000  0.270385
      ESP Fit Center   99 is at  -2.550000  1.800000 -0.929615
      ESP Fit Center  100 is at  -2.550000  1.800000 -0.629615
      ESP Fit Center  101 is at  -2.550000  1.800000 -0.329615
